,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
6776,63190001,carrefour,4582699.0,337353.0,63190,RUE GEORGES CLEMENCEAU,LEZOUX,R
8814,80110002,carrefour,4978800.0,246900.0,80110,Route de Thennes,MOREUIL,R
6134,59193003,carrefour,5067715.97,284638.16,59193,Rue d'Armentières,Erquinghem-Lys,R
2831,29750001,carrefour,4783300.0,-418500.0,29750,Rue du Général de Gaulle,Loctudy,R
2836,29780001,carrefour,4801695.0,-450181.0,29780,1 rue Brizeux,PLOUHINEC,R
4959,46220002,carrefour,4450500.0,117500.0,46220,ROUTE DE FUMEL,PRAYSSAC,R
2861,29950001,carrefour,4788200.0,-411200.0,29950,Domaine de Penfoul Bihan,BENODET,R
6055,59110001,carrefour,5065500.0,306000.0,59110,Rue du Pré Catelan,La Madeleine,R
8717,79000001,carrefour,4631800.0,-46600.0,79000,80 Avenue Saint-Jean d'Angély,NIORT,R
8816,80120003,carrefour,5027346.1,166324.377,80120,Rue du Moulin,RUE,R
8712,78970001,carrefour,4896039.0,180785.0,78970,6 AVENUE DE LA GARE,MéZIèRES-SUR-SEINE,R
8710,78960001,carrefour,4875600.0,205500.0,78960,RUE AUX FLEURS,Voisins-le-Bretonneux,R
6061,59113001,carrefour,5054100.0,302100.0,59113,impasse roger bouvry,SECLIN,R
6060,59112002,carrefour,5052800.0,294500.0,59112,Rue du Lavoisier,ANNOEULLIN,R
9757,89000011,carrefour,4779700.0,354700.0,89000,97-99 Avenue de Saint-Georges,Auxerre,R
6843,63650001,carrefour,4586832.7222146,363280.76412604,63650,RUE DE CHANTELAUZE,La Monnerie-le-Montel,R
6080,59123001,carrefour,5106500.0,252000.0,59123,49 RUE PIERRE DECOCK,BRAY-DUNES,R
9948,91450001,carrefour,4863900.0,245800.0,91450,Rond Point des Coudray,ÉTIOLLES,R
6085,59129003,carrefour,5019200.0,338500.0,59129,79 Rue Sadi Carnot,Avesnes-les-Aubert,R
2778,29340002,carrefour,4784604.0,-368699.0,29340,1 route de quimperle,Riec-sur-Belon,R
2775,29300004,carrefour,4788000.0,-355400.0,29300,119 Rue du Couëdic,QUIMPERLE,R
3016,31100004,carrefour,4355883.14923,140298.833631,31100,138 bis Route de Seysses,TOULOUSE,R
3034,31140004,carrefour,4370700.0,146600.0,31140,"2, rue du 8 mai 1945",PECHBONNIEU,R
6713,62810001,carrefour,5027889.0,253606.0,62810,1000 avenue Francois Mitterand,AVESNES-LE-COMTE,R
8535,77590001,carrefour,4848338.0,269601.0,77590, Rue Gallieni,Chartrettes,R
3237,32190001,carrefour,4375500.0,29500.0,32190,ROCADE SUD,VIC-FEZENSAC,R
3246,32300002,carrefour,4351500.0,39900.0,32300,Boulevard des Pyrénées,MIRANDE,R
8548,77700002,carrefour,4889666.0,280162.0,77700, Rue d'Esbly,Coupvray,R
6271,59650001,carrefour,5062625.0,314909.0,59650,10 PLACE DE LA REPUBLIQUE,Villeneuve-d'Ascq,R
4903,45500009,carrefour,4768948.8971453,264374.80210887,45500,CHEMIN DES ALLIX,Gien,R
6280,59680001,carrefour,5026010.0,400607.0,59680,Avenue Georges Clémenceau,Ferrière-la-Grande,R
8518,77480002,carrefour,4841400.0,324200.0,77480,82 AVENUE DE LA LIBERATION,BRAY-SUR-SEINE,R
8516,77470001,carrefour,4895800.0,295900.0,77470,86 Avenue de Verdun,TRILPORT,R
8510,77440002,carrefour,4902200.0,303300.0,77440,"8, route des platanes",Lizy-sur-Ourcq,R
6268,59630002,carrefour,5093921.0,219998.0,59630,CHEMIN DE LA VIEILLE COLME,BOURBOURG,R
4909,45560001,carrefour,4788155.0,195230.0,45560,RUE DU CHALET,Saint-Denis-en-Val,R
8804,80100001,carrefour,5010400.0,182800.0,80100,RUE DES CORDELIERS,ABBEVILLE,R
3214,31860004,carrefour,4347900.0,138900.0,31860,Chemin de la Croisette,PINS-JUSTARET,R
3209,31820001,carrefour,4360785.0,128404.0,31820,CD 65 Route de Toulouse,Pibrac,R
8525,77510001,carrefour,4884615.0,323114.0,77510,ZAC PRE ANCEL,REBAIS,R
3199,31790005,carrefour,4374591.6,136584.8,31790,LIEUDIT CABOURDY - RN20,Saint-Jory,R
5894,57190001,carrefour,4931759.0,611436.0,57190,11 Rue Nationale,FLORANGE,R
3193,31770001,carrefour,4361300.0,133000.0,31770,Chemin de l'Ormeau,Colomiers,R
3186,31700001,carrefour,4367282.04887,128413.626363,31700,ROUTE DE TOULOUSE,MONDONVILLE,R
5922,57365001,carrefour,4922000.0,621300.0,57365,Rue Auguste Renoir,Ennery,R
9702,88230002,carrefour,4818300.0,700400.0,88230,14 Rue du Général Ingold,Fraize,R
